seqNo,siteCode,subTitle,subContent,sDate,eDate,groupName,contact,subDesc,subPath,subDesc2,subDesc3,mainImageT,sido,gugun,subDate,eventName,CATEGORY_NM,URL,imageUrl,EVENT_TM_INFO
11488,2,두루미와 두루두루,천연기념물이자 인천시조인 두루미를 이해하고 관찰하는 프로그램,20241201,20241201,생태교육허브물새알,0507-1450-4953,탐조문화공간스푼빌 및 동검도 일원,https://moolseal.modoo.at/?link=sdyfmrb6,전연령,무료,,인천광역시,강화군,"12월 1일, 15일(일) 14:00~17:00, 12월 14일(토) 10:00~16:00",두루미와 두루두루,,,,
11481,9,추사파노라마,"추사의 삶과 예술에 대한 이해와, 문화유산의 가치를 알게하는 지역주민프로그램",20241201,20241201,협동조합추사라이브러리,041-332-2003,추사김정희고택,,예산군주민(회당20명),무료(지역주민프로그램),,충청남도,예산군,"12월 1, 7, 8일 (총3회) / 13~16시",추사파노라마,,,,
11527,4,2024 희양문헌집<기별(奇別)하다>,"희양10경을 강독하고, 참여자의 이야기를 담은 2024 희양문헌집 만들기 프로그램",20241201,20241201,광양향교,070-4258-2425,광양향교,,광양시민 및 관광객,무료,,전라남도,광양시,"12월01일~12월14일 매주 토요일,일요일(총4회) / 10:00~12:00",2024 희양문헌집<기별(奇別)하다>,,,,
11528,4,천년고도 향교사랑(전통과미래의러브스토리),"한복입기, 예절교육, 국궁, 투호, 떡메, 다도, 서예",20241201,20241201,경주향교,054-775-3624,경주 향교,,일반인,유료,,경상북도,경주시,"12월1, 2, 10, 12일(총4회)",천년고도 향교사랑(전통과미래의러브스토리),,,,
11477,9,박상진의사의 밀서를 찾아라(시를 통하여),"박상진의사가 남긴 유시, 전별시 등을 낭송해보고 국가등록유산인 옥중편지글을 편지지 굿즈에 써 보고 남긴 메세지를 찾아본다",20241201,20241201,울산북구문화원(박상진의사 역사공원 역사문화센터),052)296-1411,양정재,https://psjpark.modoo.at/,6세이상 가족단위 일반인,무료,,울산광역시,북구,"12월 1일, 8일(총2회)/ 11시~12시",박상진의사의 밀서를 찾아라(시를 통하여),,,,
11476,9,박상진을 꿈꾸고 꿈먹고,지역의 곡물을 이용한 곡물먹거리 개발 및 연구와 플리마켓 진행,20241201,20241201,울산북구문화원(박상진의사 역사공원 역사문화센터),052)296-1411,교육장,https://psjpark.modoo.at/,6세이상 가족단위 일반인,무료,,울산광역시,북구,"12월 1일, 8일(총2회)/ 12시~13시",박상진을 꿈꾸고 꿈먹고,,,,
11516,4,명탄서원 유생 예악을 실현하다,"기후변화대응프로그램(친환경제품만들기), 종강식",20241201,20241201,공주이씨충절사수호위원회문중,010-4592-3942,혜의당,,"학생,시민,사회적약자 50명내외",무료,,충청남도,공주시,12월 1일(총 1회)/14:00-16:00,명탄서원 유생 예악을 실현하다,,,,
11475,9,고헌고택에서 만나자,독립운동가의 옷을 입고 전략적 독립운동가 박상진에 대한 역사스토리 프로그램,20241201,20241201,울산북구문화원(박상진의사 역사공원 역사문화센터),052)296-1411,박상진의사생가,https://psjpark.modoo.at/,6세이상 가족단위 일반인,무료,,울산광역시,북구,"12월 1일, 8일(총2회)/ 10시~11시",고헌고택에서 만나자,,,,
11471,3,"상시 체험(에코백, 문화재톡톡블럭, 호랑이등만들기, 비로약차 차담)","상시 체험(에코백, 문화재톡톡블럭, 호랑이등만들기, 비로약차 차담)",20241201,20241210,불회사,061-337-3440,불회사일원,,누구나,무료,,전라남도,나주시,12월 1일(일) 09:00~16:00 ~12월 10일(화) 9:00~16:00 (총 10회),"상시 체험(에코백, 문화재톡톡블럭, 호랑이등만들기, 비로약차 차담)",,,,
11502,2,조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,300년의 역사를 지닌 국가무형문화재 사기장 김정옥 가문의 역사와 그들이 가진 문화유산에 대해 ICT 실감콘텐츠 연계 상설 전시를 통해 효율적으로 교육 할 수있는 프로그램,20241201,20241201,㈜백산헤리티지,010-3794-5324,문경 국가무형문화재전수관,,일반인,무료,,경상북도,문경시,"12월 1일부터 12월 31일까지 매 주 화요일, 수요일, 목요일, 금요일, 토요일, 일요일 운영 (총 200회) / 09:00 ~ 18:00",조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,,,,
